,name,연료,brand_name,car_type
0,1시리즈 (F20) (12년~현재),디젤,BMW,
1,1시리즈 (E82) (04~13년),디젤,BMW,
2,2시리즈 (F22) (13년~현재),디젤,BMW,
3,2시리즈 액티브 투어러 (F45) (15년~현재),디젤,BMW,
4,3시리즈 (F30) (12년~현재),가솔린,BMW,
5,3시리즈 (F30) (12년~현재),디젤,BMW,
6,3시리즈 (E90) (05~13년),가솔린,BMW,
7,3시리즈 (E90) (05~13년),디젤,BMW,
8,3시리즈 (75~06년),가솔린,BMW,
9,4시리즈 (F32)(13년~현재),가솔린,BMW,
10,4시리즈 (F32)(13년~현재),디젤,BMW,
11,5시리즈 (G30) (17년~현재),가솔린,BMW,
12,5시리즈 (G30) (17년~현재),디젤,BMW,
13,5시리즈 (F10) (10~16년),가솔린,BMW,
14,5시리즈 (F10) (10~16년),디젤,BMW,
15,5시리즈 (E60) (03~10년),가솔린,BMW,
16,5시리즈 (E60) (03~10년),디젤,BMW,
17,5시리즈 (E60) (03~10년),가솔린+CNG,BMW,
18,5시리즈 (72~03년),가솔린,BMW,
19,1M (E82)(11~12년),가솔린,BMW,
20,7시리즈 (G11) (15년~현재),가솔린,BMW,
21,7시리즈 (G11) (15년~현재),디젤,BMW,
22,7시리즈 (F01) (08~15년),가솔린,BMW,
23,7시리즈 (F01) (08~15년),디젤,BMW,
24,7시리즈 (F01) (08~15년),가솔린+전기,BMW,
25,7시리즈 (E65) (02~08년),가솔린,BMW,
26,7시리즈 (E65) (02~08년),가솔린+CNG,BMW,
27,7시리즈 (77~01년),가솔린,BMW,
28,8시리즈(89~99년),가솔린,BMW,
29,6시리즈 GT (G32) (17년~현재),디젤,BMW,
30,5시리즈 GT (F07) (10~17년),가솔린,BMW,
31,5시리즈 GT (F07) (10~17년),디젤,BMW,
32,3시리즈 GT (F34) (13년~현재),디젤,BMW,
33,M3 (F80)(14년~현재),가솔린,BMW,
34,M2 (F87)(16년~현재),가솔린,BMW,
35,M3 (F80) (14년~현재),가솔린,BMW,
36,M3 (E90) (07~13년),가솔린,BMW,
37,M3 (E46) (00~06년),가솔린,BMW,
38,M4 (F82)(14년~현재),가솔린,BMW,
39,M5 (F10) (12년~현재),가솔린,BMW,
40,M5 (E60) (05~10년),가솔린,BMW,
41,M6 (F12) (12년~현재),가솔린,BMW,
42,M6 (E63) (05~10년),가솔린,BMW,
43,X1 (F48) (16년~현재),디젤,BMW,
44,X1 (E84) (10~15년),디젤,BMW,
45,X3 (G01) (17년~현재),디젤,BMW,
46,X3 (F25) (11~17년),디젤,BMW,
47,X3 (E83) (04~10년),가솔린,BMW,
48,X3 (E83) (04~10년),디젤,BMW,
49,X4 (F26)(14년~현재),디젤,BMW,
50,X5 (F15) (13년~현재),디젤,BMW,
51,X5 (E70) (07~13년),가솔린,BMW,
52,X5 (E70) (07~13년),디젤,BMW,
53,X5 (E53) (00~06년),가솔린,BMW,
54,X6 (F16) (14년~현재),디젤,BMW,
55,X6 (E71) (08~14년),가솔린,BMW,
56,X6 (E71) (08~14년),디젤,BMW,
57,X6 (E71) (08~14년),가솔린+전기,BMW,
58,X5M (F15) (15년~현재),가솔린,BMW,
59,X5M (E70) (10~13년),가솔린,BMW,
60,X6M (F16) (15년~현재),가솔린,BMW,
61,X6M (E71) (09~14년),가솔린,BMW,
62,Z4 (E89) (09~16년),가솔린,BMW,
63,Z4 (E85) (02~08년),가솔린,BMW,
64,i3(14년~현재),전기,BMW,
65,i8(14년~현재),가솔린+전기,BMW,
